naver_sector_code,naver_sector_name,market,krx_sector_code,krx_sector_name,name_match,constituent_overlap_count,naver_count,krx_count,mapping_status,naver_total_count,naver_count_scope
261,제약,KOSDAQ,2066,제약,True,68,103,129,MAPPED_BY_UNIQUE_MAX_OVERLAP,175,COMMON_INTERSECTION_FOR_MARKET
261,제약,KOSPI,1009,제약,True,45,54,48,MAPPED_BY_UNIQUE_MAX_OVERLAP,175,COMMON_INTERSECTION_FOR_MARKET
262,생명과학도구및서비스,KOSDAQ,2012,일반서비스,False,18,38,139,MAPPED_BY_UNIQUE_MAX_OVERLAP,41,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSDAQ,2118,IT 서비스,False,27,28,226,MAPPED_BY_UNIQUE_MAX_OVERLAP,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1046,IT 서비스,False,5,5,25,MAPPED_BY_UNIQUE_MAX_OVERLAP,34,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,,,False,0,1,0,NO_OVERLAP,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1016,유통,False,11,11,62,MAPPED_BY_UNIQUE_MAX_OVERLAP,14,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2027,유통,False,8,10,100,MAPPED_BY_UNIQUE_MAX_OVERLAP,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSPI,1016,유통,False,2,2,62,MAPPED_BY_UNIQUE_MAX_OVERLAP,13,COMMON_INTERSECTION_FOR_MARKET
266,화장품,KOSDAQ,2065,화학,False,29,40,123,MAPPED_BY_UNIQUE_MAX_OVERLAP,65,COMMON_INTERSECTION_FOR_MARKET
266,화장품,KOSPI,1008,화학,False,13,16,103,MAPPED_BY_UNIQUE_MAX_OVERLAP,65,COMMON_INTERSECTION_FOR_MARKET
267,IT서비스,KOSDAQ,2118,IT 서비스,True,75,95,226,MAPPED_BY_UNIQUE_MAX_OVERLAP,118,COMMON_INTERSECTION_FOR_MARKET
267,IT서비스,KOSPI,1046,IT 서비스,True,11,14,25,MAPPED_BY_UNIQUE_MAX_OVERLAP,118,COMMON_INTERSECTION_FOR_MARKET
268,식품,KOSDAQ,2056,음식료·담배,False,28,35,47,MAPPED_BY_UNIQUE_MAX_OVERLAP,92,COMMON_INTERSECTION_FOR_MARKET
268,식품,KOSPI,1005,음식료·담배,False,31,43,37,MAPPED_BY_UNIQUE_MAX_OVERLAP,92,COMMON_INTERSECTION_FOR_MARKET
269,디스플레이장비및부품,KOSDAQ,2072,전기전자,False,28,63,311,MAPPED_BY_UNIQUE_MAX_OVERLAP,72,COMMON_INTERSECTION_FOR_MARKET
269,디스플레이장비및부품,KOSPI,1013,전기전자,False,2,3,69,MAPPED_BY_UNIQUE_MAX_OVERLAP,72,COMMON_INTERSECTION_FOR_MARKET
270,자동차부품,KOSDAQ,2075,운송장비·부품,False,52,78,77,MAPPED_BY_UNIQUE_MAX_OVERLAP,155,COMMON_INTERSECTION_FOR_MARKET
270,자동차부품,KOSPI,1015,운송장비·부품,False,48,69,61,MAPPED_BY_UNIQUE_MAX_OVERLAP,155,COMMON_INTERSECTION_FOR_MARKET
271,레저용장비와제품,KOSDAQ,2027,유통,False,4,9,100,MAPPED_BY_UNIQUE_MAX_OVERLAP,13,COMMON_INTERSECTION_FOR_MARKET
271,레저용장비와제품,KOSPI,,,False,1,2,0,AMBIGUOUS_MAX_OVERLAP,13,COMMON_INTERSECTION_FOR_MARKET
272,화학,KOSDAQ,2065,화학,True,34,46,123,MAPPED_BY_UNIQUE_MAX_OVERLAP,123,COMMON_INTERSECTION_FOR_MARKET
272,화학,KOSPI,1008,화학,True,57,68,103,MAPPED_BY_UNIQUE_MAX_OVERLAP,123,COMMON_INTERSECTION_FOR_MARKET
