control_id,ticker,source,date,open,high,low,close,volume
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,2018-05-04,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_005930_STOCK_SPLIT,005930,PYKRX_COMPARATOR,2018-05-04,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_035420_STOCK_SPLIT,035420,NAVER_DIRECT,2018-10-12,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_035420_STOCK_SPLIT,035420,PYKRX_COMPARATOR,2018-10-12,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_035720_STOCK_SPLIT,035720,NAVER_DIRECT,2021-04-15,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_035720_STOCK_SPLIT,035720,PYKRX_COMPARATOR,2021-04-15,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_003670_RIGHTS_OFFERING,003670,NAVER_DIRECT,2021-01-13,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_003670_RIGHTS_OFFERING,003670,PYKRX_COMPARATOR,2021-01-13,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_028260_MERGER,028260,NAVER_DIRECT,2015-09-01,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_028260_MERGER,028260,PYKRX_COMPARATOR,2015-09-01,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_000100_BONUS_ISSUE,000100,NAVER_DIRECT,2020-04-01,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_000100_BONUS_ISSUE,000100,PYKRX_COMPARATOR,2020-04-01,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_004020_MERGER,004020,NAVER_DIRECT,2015-07-01,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_004020_MERGER,004020,PYKRX_COMPARATOR,2015-07-01,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_010130_RIGHTS_OFFERING,010130,NAVER_DIRECT,2022-08-30,50000.0,51000.0,49000.0,50500.0,1000000.0
CORP_010130_RIGHTS_OFFERING,010130,PYKRX_COMPARATOR,2022-08-30,50000.0,51000.0,49000.0,50500.0,1000000.0
