ticker,market,canonical_sector_code,canonical_sector_name,naver_sector_names,naver_sector_count,mapped_naver_sector_codes,classification,possible_reference_date_drift
000020,KOSPI,1009,제약,제약,1,1009,EXACT_MATCH,False
000040,KOSPI,1015,운송장비·부품,자동차,1,1015,MAPPED_MATCH,False
000050,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
000070,KOSPI,1021,금융,화학,1,1008,SECTOR_CONFLICT,True
000080,KOSPI,1005,음식료·담배,음료,1,1005,MAPPED_MATCH,False
000100,KOSPI,1009,제약,제약,1,1009,EXACT_MATCH,False
000120,KOSPI,1019,운송·창고,항공화물운송과물류,1,1019,MAPPED_MATCH,False
000140,KOSPI,1021,금융,음료,1,1005,SECTOR_CONFLICT,True
000150,KOSPI,1013,전기전자,복합기업,1,1021,SECTOR_CONFLICT,True
000180,KOSPI,1026,일반서비스,종이와목재,1,1007,SECTOR_CONFLICT,True
000210,KOSPI,1008,화학,화학,1,1008,EXACT_MATCH,False
000220,KOSPI,1009,제약,제약,1,1009,EXACT_MATCH,False
000230,KOSPI,1009,제약,제약,1,1009,EXACT_MATCH,False
000240,KOSPI,1021,금융,자동차부품,1,1015,SECTOR_CONFLICT,True
000250,KOSDAQ,2066,제약,제약,1,2066,EXACT_MATCH,False
000270,KOSPI,1015,운송장비·부품,자동차,1,1015,MAPPED_MATCH,False
000300,KOSPI,1015,운송장비·부품,자동차부품,1,1015,MAPPED_MATCH,False
000320,KOSPI,1021,금융,건축자재,1,1010,SECTOR_CONFLICT,True
000370,KOSPI,1025,보험,손해보험,1,1025,MAPPED_MATCH,False
000390,KOSPI,1008,화학,건축자재,1,1010,SECTOR_CONFLICT,True
000400,KOSPI,1025,보험,손해보험,1,1025,MAPPED_MATCH,False
000430,KOSPI,1015,운송장비·부품,자동차부품,1,1015,MAPPED_MATCH,False
000440,KOSDAQ,2027,유통,석유와가스,1,2027,MAPPED_MATCH,False
000480,KOSPI,1010,비금속,비철금속,1,1011,SECTOR_CONFLICT,True
000490,KOSPI,1012,기계·장비,기계,1,1012,MAPPED_MATCH,False
000500,KOSPI,1013,전기전자,전기장비,1,1013,MAPPED_MATCH,False
000520,KOSPI,1009,제약,제약,1,1009,EXACT_MATCH,False
000540,KOSPI,1025,보험,손해보험,1,1025,MAPPED_MATCH,False
