trade_id,pair_id,ticker,date,close_return,pattern_a_stage,event_type,execution_date,execution_open
011790_02,011790|KR7011790003|KOSPI|2010-01-04|2026-08-21|011790_02,011790,2025-04-09,-41.10000000,PROGRESSED,SOFT_EXIT_SIGNAL,2025-04-10,90327.00000000
015260_01,015260|KR7015260003|KOSPI|2010-01-04|2026-08-21|015260_01,015260,2022-12-23,-40.33000000,TRANSITION,SOFT_EXIT_SIGNAL,2022-12-26,1605.00000000
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-02,-41.26000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-05,-50.53000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-06,-48.28000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-07,-47.28000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-08,-48.28000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-09,-47.02000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-12,-45.43000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-13,-45.96000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-14,-44.11000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-16,-43.64000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-19,-44.37000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-21,-40.46000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-22,-42.05000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-23,-42.38000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-26,-43.77000000,WEAK,WEAK_PROTECT,,
033160_01,033160|KR7033160003|KOSDAQ|2010-01-04|2026-08-21|033160_01,033160,2024-08-27,-44.11000000,WEAK,WEAK_PROTECT,,
