ticker,sector_rs_data_status_match,sector_rs_input_reason_match,sector_code_match,sector_name_match,sector_benchmark_code_match,sector_benchmark_last_observation_date_match,sector_anchor_date_3m_match,sector_anchor_date_6m_match,sector_anchor_date_12m_match,sector_return_3m_match,sector_return_6m_match,sector_return_12m_match,sector_rs_3m_match,sector_rs_6m_match,sector_rs_12m_match
000020,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000040,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000050,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000070,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000080,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000100,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000120,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000140,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000150,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000180,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000210,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000220,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000230,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000240,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000250,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000270,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000300,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000320,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000370,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000390,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000400,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000430,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000440,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000480,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000490,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000500,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000520,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000540,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000590,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000640,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000650,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000660,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000670,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000680,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000700,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000720,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000760,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000810,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000850,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000860,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000880,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000890,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000910,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000950,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000970,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
000990,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001000,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001020,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001040,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001060,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001070,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001080,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001120,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001130,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001200,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001210,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001230,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001250,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001260,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
001270,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
