trade_id,pair_id,ticker,date,close_return,pattern_a_stage,event_type,execution_date,execution_open
000670_04,000670|KR7000670000|KOSPI|2010-01-04|2026-09-01|000670_04,000670,2026-07-13,-40.37,PROGRESSED,SOFT_EXIT_SIGNAL,2026-07-14,36800.0
011790_02,011790|KR7011790003|KOSPI|2010-01-04|2026-09-01|011790_02,011790,2025-04-09,-41.1,PROGRESSED,SOFT_EXIT_SIGNAL,2025-04-10,90327.0
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-07-20,-41.28,WEAK,WEAK_PROTECT,,
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-07-21,-41.48,WEAK,WEAK_PROTECT,,
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-07-22,-42.42,WEAK,WEAK_PROTECT,,
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-07-24,-40.2,WEAK,WEAK_PROTECT,,
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-07-28,-43.03,WEAK,WEAK_PROTECT,,
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-07-29,-45.45,WEAK,WEAK_PROTECT,,
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-07-30,-45.93,WEAK,WEAK_PROTECT,,
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-07-31,-43.1,WEAK,WEAK_PROTECT,,
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-08-18,-40.27,WEAK,WEAK_PROTECT,,
085660_01,085660|KR7085660009|KOSDAQ|2010-01-04|2026-09-01|085660_01,085660,2026-08-19,-42.76,WEAK,WEAK_PROTECT,,
