ticker,isu_cd,market,historical_identity,current_identity,first_common_date,transition_date,transition_type,ticker_code_continuity,economic_identity_continuity,canonical_adjusted_date_min,canonical_requested_start,raw_cache_exists,authority_artifact,authority_status,final_classification,resolution,identity_boundary_aligned,canonical_boundary_aligned,rationale
194610,KR7194610002,KOSDAQ,하나머스트기업인수목적,,2015-03-25,2015-03-25,SPAC_TO_COMMON,true,false,2015-03-25,2015-03-25,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
203690,KR7203690003,KOSDAQ,케이비제3호기업인수목적,아크솔루션스,2015-10-01,2015-10-01,SPAC_TO_COMMON,true,false,2015-10-01,2015-10-01,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
204630,KR7204630008,KOSDAQ,현대드림투게더제2호기업인수목적,스튜디오산타클로스,2015-09-15,2015-09-15,SPAC_TO_COMMON,true,false,2015-09-15,2015-09-15,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
217600,KR7217600006,KOSDAQ,이베스트기업인수목적2호,켐온,2017-04-11,2017-04-11,SPAC_TO_COMMON,true,false,2017-04-11,2017-04-11,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
217620,KR7217620004,KOSDAQ,한화에이씨피씨기업인수목적,선샤인푸드,2017-08-31,2017-08-31,SPAC_TO_COMMON,true,false,2017-08-31,2017-08-31,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
220630,KR7220630008,KOSDAQ,케이티비기업인수목적3호,맘스터치,2016-10-06,2016-10-06,SPAC_TO_COMMON,true,false,2016-10-06,2016-10-06,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
222810,KR7222810004,KOSDAQ,교보4호기업인수목적,세토피아,2016-04-12,2016-04-12,SPAC_TO_COMMON,true,false,2016-04-12,2016-04-12,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
226360,KR7226360006,KOSDAQ,케이비드림투게더제4호기업인수목적; 현대드림투게더제4호기업인수목적,KH 건설,2017-12-18,2017-12-18,SPAC_TO_COMMON,true,false,2017-12-18,2017-12-18,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
226440,KR7226440006,KOSDAQ,동부제3호기업인수목적,한송네오텍,2018-07-16,2018-07-16,SPAC_TO_COMMON,true,false,2018-07-16,2018-07-16,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
230980,KR7230980005,KOSDAQ,아이비케이에스제4호기업인수목적,비유테크놀러지,2016-12-05,2016-12-05,SPAC_TO_COMMON,true,false,2016-12-05,2016-12-05,false,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json; artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/corrected_full_classification_census.json; data/reference/krx_instrument_metadata.csv,PROVEN_TIER_A_KRX_PIT_SPAC_AUTHORITY,IDENTITY_BOUNDARY_EXPECTED,RESOLVED_OFFLINE,true,true,Tier-A KRX/PIT corrected intervals and explicit SPAC authority prove a pre-boundary SPAC interval followed by a COMMON interval; first_common_date equals the post-transition COMMON effective_from and canonical requested_start/date_min equals that boundary. Raw source rows are unnecessary for analytic eligibility; no acquisition truncation is indicated.
