ticker,identity,market,signal_date,threshold_krw,source,market_cap,partition_status,partition_path,partition_file_sha256,partition_content_sha256,status,reason,strategy_signal_qualified
000070,KR7000070003,KOSPI,2021-01-22,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,785343650700,COMPLETE,market=KOSPI/year=2021/2021-01-22.parquet,8f1b7b24baa005e6e54e438160faea816e2ea0f0d9db0d2ec8a017fc30d3d6a5,3ad9246dae5964628be86718106c97480428827ad8ff7024eee6986420c289a0,REJECT_BELOW_THRESHOLD,EXACT_RAW_MKTCAP_BELOW_1T,True
000180,KR7000180000,KOSPI,2021-01-22,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,167055082000,COMPLETE,market=KOSPI/year=2021/2021-01-22.parquet,8f1b7b24baa005e6e54e438160faea816e2ea0f0d9db0d2ec8a017fc30d3d6a5,3ad9246dae5964628be86718106c97480428827ad8ff7024eee6986420c289a0,REJECT_BELOW_THRESHOLD,EXACT_RAW_MKTCAP_BELOW_1T,True
000150,KR7000150003,KOSPI,2021-07-02,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,1627597747500,COMPLETE,market=KOSPI/year=2021/2021-07-02.parquet,b84844b7a3c2beb42fcc5a17e05ea2cbf6283f7c0586e902d28e32de418206cb,d986ef3a475ea918ca049cefd8f70a41c562c2a98aaf8e0d3fc16755a7419e5f,PASS,EXACT_RAW_MKTCAP_AT_OR_ABOVE_1T,True
000180,KR7000180000,KOSPI,2021-02-19,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,172286452000,COMPLETE,market=KOSPI/year=2021/2021-02-19.parquet,7da0763e0402292f652b98aa221c673318b87e105c3ad2720982f6659c0c6e2e,f333dcd640341793e2f4c456daa6787a4bd5af7117f19cd3f3e3820cc08ff1f2,REJECT_BELOW_THRESHOLD,EXACT_RAW_MKTCAP_BELOW_1T,True
000050,KR7000050005,KOSPI,2021-05-28,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,423565921500,COMPLETE,market=KOSPI/year=2021/2021-05-28.parquet,780b9c3bc6f449f3890e7286bc3511da6bcc53721cff13fd7a60523c0314eb72,06015640d4c309407492f21c40d44b17f707b0587737034a82b42769b9bc2150,REJECT_BELOW_THRESHOLD,EXACT_RAW_MKTCAP_BELOW_1T,True
000180,KR7000180000,KOSPI,2021-02-26,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,164613776000,COMPLETE,market=KOSPI/year=2021/2021-02-26.parquet,77f278ecc2de2aff16333648577fb69ddd7378d1eee6e6c74fffd573c8ffedd5,f00675622886ebccc31afc22b919b791edb829cbb4f82195d92ec0b59de84ccf,REJECT_BELOW_THRESHOLD,EXACT_RAW_MKTCAP_BELOW_1T,True
000080,KR7000080002,KOSPI,2021-07-02,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,2577410204250,COMPLETE,market=KOSPI/year=2021/2021-07-02.parquet,b84844b7a3c2beb42fcc5a17e05ea2cbf6283f7c0586e902d28e32de418206cb,d986ef3a475ea918ca049cefd8f70a41c562c2a98aaf8e0d3fc16755a7419e5f,PASS,EXACT_RAW_MKTCAP_AT_OR_ABOVE_1T,True
000050,KR7000050005,KOSPI,2021-07-02,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,387926070500,COMPLETE,market=KOSPI/year=2021/2021-07-02.parquet,b84844b7a3c2beb42fcc5a17e05ea2cbf6283f7c0586e902d28e32de418206cb,d986ef3a475ea918ca049cefd8f70a41c562c2a98aaf8e0d3fc16755a7419e5f,REJECT_BELOW_THRESHOLD,EXACT_RAW_MKTCAP_BELOW_1T,True
000180,KR7000180000,KOSPI,2021-03-05,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,168450114000,COMPLETE,market=KOSPI/year=2021/2021-03-05.parquet,0c82c507b7acc2b8a31fa40f32f1001c7df849c34e637f0bb172b5681bc7eb44,744a2795bb7bb6e076acb269c0d196f4f0d2a4f78a9e6eb789c98c0af6557a26,REJECT_BELOW_THRESHOLD,EXACT_RAW_MKTCAP_BELOW_1T,True
000180,KR7000180000,KOSPI,2021-03-12,1000000000000,KRX Open API Stock Daily MKTCAP via data/market/raw/krx_stocks/v01,169496388000,COMPLETE,market=KOSPI/year=2021/2021-03-12.parquet,56f4cec06784e512197df6e96cad318db0fd04f9c89f84068fbc712f5f3d1833,1d79c6d125513e85f1a2aa9150727296cc09093ffb53cfd78bb89939cd6106ba,REJECT_BELOW_THRESHOLD,EXACT_RAW_MKTCAP_BELOW_1T,True
